delta_a,delta_b,similarity,hamming_similarity,mod_similarity,factor_similarity,bitlength_similarity,popcount_similarity,x_hamming_similarity,y_hamming_similarity,carry_chain_similarity,second_difference_similarity,cf_prefix_similarity
2,57,0.31262166005291003,0.89453125,0.04,0.2,0.018518518518518517,0.03571428571428571,0.46484375,0.51171875,0.14285714285714285,1.1391130098087973e-17,0.0
2,58,0.32561635599415206,0.8984375,0.04,0.25,0.017543859649122806,0.037037037037037035,0.4921875,0.49609375,0.2,1.0530851457521373e-17,0.0
2,59,0.32534132333184057,0.8671875,0.04,0.3333333333333333,0.017241379310344827,0.02857142857142857,0.48828125,0.546875,0.09090909090909091,9.397766866664143e-18,0.0
2,60,0.2988622064320283,0.8828125,0.08,0.14285714285714285,0.017543859649122806,0.034482758620689655,0.44140625,0.51171875,0.05,1.3687137894211574e-18,0.0
2,61,0.3122449142156863,0.86328125,0.04,0.25,0.016666666666666666,0.029411764705882353,0.46875,0.5390625,0.1,1.1528385697758487e-18,0.0
2,62,0.3353560920064747,0.86328125,0.12,0.3333333333333333,0.01639344262295082,0.029411764705882353,0.46875,0.53125,0.07142857142857142,8.061092329505126e-19,0.08333333333333333
2,63,0.34936807263205827,0.8984375,0.04,0.5,0.01639344262295082,0.037037037037037035,0.50390625,0.48046875,0.125,7.571412528654368e-19,0.0
2,64,0.33052519361239113,0.88671875,0.0,0.3333333333333333,0.016129032258064516,0.03571428571428571,0.5390625,0.5390625,0.1111111111111111,9.969658064174449e-19,0.0
2,65,0.30971797489156955,0.87109375,0.0,0.25,0.016129032258064516,0.029411764705882353,0.51953125,0.4609375,0.14285714285714285,4.253335115085898e-20,0.0
2,66,0.2996838536463536,0.87109375,0.04,0.14285714285714285,0.015384615384615385,0.03125,0.5078125,0.48828125,0.09090909090909091,3.2237385485056936e-18,0.0
2,67,0.3120934622809623,0.8515625,0.0,0.25,0.015384615384615385,0.02702702702702703,0.4921875,0.5546875,0.14285714285714285,3.0410243601592485e-19,0.0
2,68,0.3193781177156177,0.8671875,0.04,0.25,0.015384615384615385,0.030303030303030304,0.52734375,0.546875,0.08333333333333333,5.035362880372836e-21,0.0
2,69,0.29709496720985695,0.859375,0.0,0.25,0.014705882352941176,0.02702702702702703,0.46484375,0.48828125,0.0625,0.0,0.0
3,4,0.47805416666666667,0.9921875,0.08,0.5,0.25,0.3333333333333333,0.54296875,0.484375,0.3333333333333333,0.8,0.0
3,5,0.448240625,0.984375,0.04,0.25,0.2,0.3333333333333333,0.5078125,0.53515625,1.0,0.08333333333333333,0.0
3,6,0.4061972882231405,0.98828125,0.08,0.25,0.2,0.25,0.4921875,0.4609375,0.5,0.09917355371900827,0.08333333333333333
3,7,0.4433883223684211,0.984375,0.08,0.25,0.125,0.3333333333333333,0.44921875,0.53515625,1.0,0.12631578947368421,0.0
3,8,0.42190471938775514,0.98046875,0.08,0.16666666666666666,0.125,0.16666666666666666,0.48828125,0.51953125,1.0,0.061224489795918366,0.0
3,9,0.398705275974026,0.984375,0.08,0.5,0.16666666666666666,0.2,0.50390625,0.46875,0.14285714285714285,0.020202020202020204,0.08333333333333333
3,10,0.476678391582112,0.9921875,0.08,1.0,0.1,0.3333333333333333,0.51171875,0.5,0.3333333333333333,0.013528748590755355,0.0
3,11,0.3825511987546036,0.96875,0.04,0.25,0.09090909090909091,0.14285714285714285,0.5078125,0.55078125,0.5,0.011940298507462687,0.0
3,12,0.3852113231003492,0.9765625,0.08,0.5,0.08333333333333333,0.14285714285714285,0.51953125,0.50390625,0.125,0.004293381037567084,0.0
3,13,0.36256933046489664,0.9765625,0.04,0.125,0.07692307692307693,0.2,0.49609375,0.484375,0.5,0.001091405184174625,0.0
3,14,0.3870101991758242,0.96484375,0.04,0.5,0.07142857142857142,0.1,0.54296875,0.5078125,0.25,0.0014423076923076924,0.0
3,15,0.428466812298763,0.984375,0.12,0.5,0.06666666666666667,0.2,0.5234375,0.54296875,0.5,0.0006100660904931368,0.0
3,16,0.4099623007534211,0.97265625,0.08,0.5,0.0625,0.125,0.51953125,0.48828125,0.5,0.00020501255701911743,0.0
3,17,0.35668435990560093,0.95703125,0.08,0.25,0.058823529411764705,0.1,0.5390625,0.578125,0.125,0.00021420921099607284,0.0
3,18,0.41083193654147465,0.96484375,0.2,0.5,0.05555555555555555,0.125,0.5078125,0.49609375,0.3333333333333333,3.4590506059103645e-05,0.0
3,19,0.3381697421136518,0.94140625,0.0,0.25,0.05263157894736842,0.07142857142857142,0.515625,0.5234375,0.2,2.710853580021009e-05,0.0
3,20,0.35633654249015817,0.94921875,0.04,0.25,0.05,0.07142857142857142,0.53125,0.51171875,0.3333333333333333,4.852562962004432e-05,0.0
3,21,0.41652542434683226,0.953125,0.04,1.0,0.047619047619047616,0.07692307692307693,0.4765625,0.4375,0.125,8.598698730258821e-06,0.0
3,22,0.44810314571400167,0.96484375,0.12,1.0,0.045454545454545456,0.1,0.45703125,0.46484375,0.3333333333333333,1.9235161875909163e-06,0.0
3,23,0.36499013663232877,0.9453125,0.08,0.5,0.041666666666666664,0.07692307692307693,0.515625,0.4765625,0.07692307692307693,1.2088294109001558e-06,0.0
3,24,0.4916909022942246,0.95703125,0.04,1.0,0.04,0.08333333333333333,0.49609375,0.4609375,1.0,4.62157040962519e-06,0.0
3,25,0.36899203385687024,0.95703125,0.08,0.5,0.04,0.08333333333333333,0.5390625,0.4375,0.1111111111111111,3.3279968903197057e-07,0.0
3,26,0.44566898088702267,0.9609375,0.08,0.5,0.038461538461538464,0.09090909090909091,0.51171875,0.515625,1.0,2.059259022317357e-07,0.0
3,27,0.4136567255086985,0.9453125,0.04,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.48828125,0.5234375,1.0,2.0909559204014204e-07,0.0
3,28,0.3841352694244771,0.94921875,0.08,0.3333333333333333,0.03571428571428571,0.08333333333333333,0.53515625,0.5,0.5,2.6122238352607657e-08,0.0
3,29,0.3239992576008334,0.94140625,0.0,0.2,0.03333333333333333,0.07142857142857142,0.47265625,0.46875,0.25,2.747420831792326e-08,0.0
3,30,0.45055105088063757,0.92578125,0.16,1.0,0.03333333333333333,0.05,0.54296875,0.546875,0.2,1.535661830065607e-07,0.0
3,31,0.3415377827931978,0.9296875,0.08,0.25,0.03333333333333333,0.05263157894736842,0.5078125,0.55078125,0.07692307692307693,3.930713528816791e-09,0.08333333333333333
3,32,0.3614593752439297,0.94921875,0.04,0.25,0.03125,0.08333333333333333,0.51171875,0.4609375,0.5,4.0654963013712054e-09,0.0
3,33,0.37231174313301924,0.9453125,0.08,0.5,0.030303030303030304,0.06666666666666667,0.48046875,0.46875,0.25,1.181294659767499e-08,0.0
3,34,0.36266566875047873,0.953125,0.04,0.3333333333333333,0.030303030303030304,0.07692307692307693,0.4765625,0.49609375,0.3333333333333333,7.364177615109143e-10,0.08333333333333333
3,35,0.32116964287737393,0.9140625,0.0,0.25,0.02857142857142857,0.047619047619047616,0.53515625,0.515625,0.07142857142857142,3.3718385658150003e-10,0.0
3,36,0.3547832420236742,0.9296875,0.08,0.3333333333333333,0.027777777777777776,0.05263157894736842,0.50390625,0.50390625,0.25,1.0768305478284832e-09,0.0
3,37,0.43162350899246515,0.9375,0.08,1.0,0.027777777777777776,0.058823529411764705,0.4609375,0.49609375,0.2,9.228394243313188e-11,0.08333333333333333
3,38,0.34217338516889506,0.9296875,0.08,0.25,0.02631578947368421,0.05263157894736842,0.56640625,0.53125,0.09090909090909091,2.384865587329583e-11,0.0
3,39,0.43839375000319547,0.91015625,0.12,1.0,0.025,0.041666666666666664,0.53125,0.53515625,0.2,5.3256253352810226e-11,0.0
3,40,0.36162444381672076,0.9375,0.08,0.3333333333333333,0.02564102564102564,0.058823529411764705,0.49609375,0.515625,0.25,1.2213472506001761e-11,0.08333333333333333
3,41,0.34399036424927126,0.921875,0.04,0.3333333333333333,0.024390243902439025,0.05263157894736842,0.484375,0.4921875,0.25,3.899504380344019e-12,0.0
3,42,0.415522965116486,0.9375,0.04,0.3333333333333333,0.023255813953488372,0.06666666666666667,0.4921875,0.5625,1.0,3.4477664111042017e-12,0.0
3,43,0.3378373538527544,0.89453125,0.04,0.3333333333333333,0.023255813953488372,0.038461538461538464,0.52734375,0.5234375,0.14285714285714285,3.5260419267268895e-12,0.0
