expression,stability,predictive,uniqueness,score
"sub(bit_length,v_3)",0.6312232938093544,0.9978838091780942,0.6956521739130435,0.7875518319724036
"add(bit_length,borrow_chain)",0.6531774211771915,0.9889850225448222,0.6521739130434783,0.7873499355041869
sqrt(popcount),0.7459788049639106,0.9594998000477927,0.4492753623188406,0.7868816866007029
"ratio(bit_length,v_37)",0.6212245241396464,0.9793045132621337,0.7681159420289855,0.7864902324720422
"add(bit_length,borrow_count)",0.6365982914080072,0.9781671122909423,0.7246376811594203,0.7864317282238933
"mul(bit_length,entropy)",0.5525025127306274,0.9743921121699706,0.9855072463768116,0.7862090625532924
"sub(bit_length,v_2)",0.6322287995301501,0.9975325401959424,0.6811594202898551,0.7856898889104227
"ratio(bit_length,v_23)",0.627267355534546,0.9620802288250062,0.7536231884057971,0.7801458797814178
sq(state),0.5299166914829407,0.9676678392875597,1.0,0.7755296468823473
"add(popcount,carry_count)",0.6341628520222135,0.9631487700141829,0.6956521739130435,0.7749806175026257
"ratio(bit_length,v_43)",0.6277353912109152,0.942794990637818,0.7536231884057971,0.7726424005609086
log1p(entropy),0.7074759329634096,0.9607793092205948,0.4492753623188406,0.7700671978695983
"mul(state,popcount)",0.5264943358202021,0.9536322146518568,1.0,0.7683753369798337
"ratio(bit_length,v_47)",0.6171326237833242,0.9351372346768017,0.7681159420289855,0.7669819658775644
sqrt(carry_count),0.7243200401157236,0.9118436260769578,0.5072463768115942,0.766768425004598
"mul(state,bit_length)",0.5294625111020758,0.9677463293197971,0.9420289855072463,0.7666610095499399
"ratio(bit_length,v_29)",0.6187225169502748,0.9246733383405468,0.782608695652174,0.7656857723116686
"ratio(bit_length,v_53)",0.6187225169502748,0.9246364611823354,0.782608695652174,0.765671021448384
"mod(entropy,v_13)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_19)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_23)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,borrow_count)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_3)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,borrow_chain)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_2)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_37)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"add(entropy,v_41)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_31)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_11)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_7)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_5)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_29)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_17)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
abs(entropy),0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_53)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_41)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_47)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,v_43)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
id(entropy),0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,carry_count)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"mod(entropy,carry_chain)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"sub(entropy,v_41)",0.6878563130086164,0.9672394523967531,0.4492753623188406,0.7638224261604047
"ratio(entropy,v_41)",0.6878563130086157,0.9672394523967528,0.4492753623188406,0.7638224261604043
"mul(bit_length,popcount)",0.5259362338799958,0.9533726620643538,0.9710144927536232,0.7636725439847831
"sub(bit_length,borrow_chain)",0.6052788896436065,0.9827648185163836,0.6521739130434783,0.7633075147026982
log1p(carry_count),0.7575470790710133,0.8655400839575964,0.5072463768115942,0.7631991756867337
"add(popcount,borrow_count)",0.6326005956591649,0.9352109704017251,0.6956521739130435,0.7631024822942708
"ratio(bit_length,v_13)",0.6117358092658391,0.9164496163101106,0.782608695652174,0.7592522650414979
"add(popcount,carry_chain)",0.6612705328109352,0.9370417731727698,0.5652173913043478,0.757171057729681
"mul(entropy,carry_count)",0.5455169904592028,0.9282280867017869,0.927536231884058,0.7559043151699647
"sub(bit_length,carry_chain)",0.6030378159582261,0.9817802673788203,0.6086956521739131,0.7553834719588169
"add(carry_count,borrow_count)",0.6347976180713842,0.9449457103290696,0.6086956521739131,0.7549415600898378
"mul(state,carry_count)",0.5223770748508024,0.9338174512844732,0.9710144927536232,0.7542488381096939
"ratio(entropy,v_17)",0.6707861275128829,0.9511447085129897,0.4782608695652174,0.7540507712207759
"ratio(entropy,v_31)",0.677647217093444,0.9465277018259262,0.463768115942029,0.7531175458137247
"sub(state,carry_chain)",0.6040329182914963,0.9795647113886401,0.5942028985507246,0.7527711325692381
"add(popcount,v_2)",0.6418697975016135,0.9688540720490479,0.5072463768115942,0.7524699942170844
"mul(bit_length,carry_count)",0.5222804272028096,0.9344970979925048,0.9565217391304348,0.7523032923078314
"ratio(state,v_19)",0.6014118626379955,0.828151509637481,1.0,0.7518959420420904
"ratio(entropy,v_11)",0.6786701307542184,0.9471719494048244,0.4492753623188406,0.751661642949154
"add(entropy,borrow_count)",0.6092304119513904,0.8239805654450617,0.9855072463768116,0.7515719985126721
"sub(state,borrow_chain)",0.6069294445373032,0.9834028767167167,0.5652173913043478,0.7512620094241252
"add(popcount,borrow_chain)",0.6600270042567081,0.9322589541552901,0.5362318840579711,0.7503505161863303
"ratio(entropy,v_37)",0.6685580956819918,0.931883475981487,0.4927536231884058,0.747517576927752
"add(carry_count,borrow_chain)",0.6566422299790621,0.9213210589804153,0.5507246376811594,0.746626122734918
"sub(entropy,borrow_count)",0.605118865881878,0.8156328291250372,0.9855072463768116,0.7463827082533818
"add(popcount,v_29)",0.6359185677296787,0.9699910479190945,0.463768115942029,0.7437249920372977
"add(popcount,v_31)",0.6359490380790818,0.9686428460629429,0.463768115942029,0.7431994229520684
"sub(popcount,v_47)",0.6349682766072954,0.9691519660449548,0.463768115942029,0.7429617282825693
"sub(popcount,v_53)",0.6355549432695776,0.9681964318036473,0.463768115942029,0.7428435145840733
"sub(popcount,v_13)",0.634610040893048,0.9689028149529035,0.463768115942029,0.7427008617743374
"sub(popcount,v_7)",0.6352377795985189,0.9679826270037895,0.463768115942029,0.7426152690121537
"sub(popcount,v_29)",0.6353920320747903,0.9675175140270497,0.463768115942029,0.74249863743578
"sub(popcount,v_37)",0.6339964248635824,0.967898281893447,0.463768115942029,0.7420229213372953
"add(popcount,v_37)",0.6372900767569486,0.9695136515928792,0.4492753623188406,0.7419772995256046
"add(popcount,entropy)",0.6366341304238993,0.9689853811042195,0.4492753623188406,0.7414708154802685
"add(popcount,v_53)",0.6357562784496411,0.9693131782843208,0.4492753623188406,0.7412069009638929
"add(popcount,v_23)",0.6357539521140023,0.96920090930546,0.4492753623188406,0.7411609465213111
