Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p145_093_SE_pivot198.95_to_n_bits.bat    P145 2^92  2^46   549755813888  12095afcfa3abb00000000000000000000000:12095afcfa3abbfffffffffffffffffffffff
p145_094_SE_pivot198.95_to_n_bits.bat    P145 2^92  2^46   549755813888  1c63061b50a13900000000000000000000000:1c63061b50a139fffffffffffffffffffffff
p145_095_SE_pivot198.95_to_n_bits.bat    P145 2^92  2^46   549755813888  1d271e07f0b37900000000000000000000000:1d271e07f0b379fffffffffffffffffffffff
p145_096_SE_pivot199.0_raw.bat           P145 2^90  2^45   274877906944  14d571903ec219c0000000000000000000000:14d571903ec219fffffffffffffffffffffff
p145_097_SE_pivot199.0_raw+form56.bat    P145 2^90  2^45   274877906944  1572f34f33de77c0000000000000000000000:1572f34f33de77fffffffffffffffffffffff
p145_098_SE_pivot199.0_raw+form56.bat    P145 2^92  2^46   549755813888  1449b8a1b2bcd300000000000000000000000:1449b8a1b2bcd3fffffffffffffffffffffff
p145_099_SE_pivot199.0_raw+form56.bat    P145 2^89  2^45   274877906944  11fc9ece4ecf5960000000000000000000000:11fc9ece4ecf597ffffffffffffffffffffff
p145_100_SE_pivot199.0_minus8.bat        P145 2^82  2^41   17179869184  1004d571903ec219c00000000000000000000:1004d571903ec219fffffffffffffffffffff
p145_101_SE_pivot199.0_minus8+for.bat    P145 2^82  2^41   17179869184  100572f34f33de77c00000000000000000000:100572f34f33de77fffffffffffffffffffff
p145_102_SE_pivot199.0_minus8+for.bat    P145 2^84  2^42   34359738368  100449b8a1b2bcd3000000000000000000000:100449b8a1b2bcd3fffffffffffffffffffff
p145_103_SE_pivot199.0_minus8+for.bat    P145 2^81  2^41   17179869184  1001fc9ece4ecf59600000000000000000000:1001fc9ece4ecf597ffffffffffffffffffff
p145_104_SE_pivot198.0_raw.bat           P145 2^88  2^44   137438953472  11355c640fb08670000000000000000000000:11355c640fb0867ffffffffffffffffffffff
p145_105_SE_pivot198.0_raw+form56.bat    P145 2^88  2^44   137438953472  115cbcd3ccf79df0000000000000000000000:115cbcd3ccf79dfffffffffffffffffffffff
p145_106_SE_pivot198.0_raw+form56.bat    P145 2^90  2^45   274877906944  11126e286caf34c0000000000000000000000:11126e286caf34fffffffffffffffffffffff
p145_107_SE_pivot198.0_raw+form56.bat    P145 2^87  2^44   137438953472  107f27b393b3d658000000000000000000000:107f27b393b3d65ffffffffffffffffffffff
p145_108_SE_pivot198.0_raw_floor.bat     P145 2^140 2^70   9223372036854775808  1100000000000000000000000000000000000:11fffffffffffffffffffffffffffffffffff
p145_109_SE_pivot198.0_raw_floor+.bat    P145 2^88  2^44   137438953472  112095afcfa3abb0000000000000000000000:112095afcfa3abbffffffffffffffffffffff
p145_110_SE_pivot198.0_raw_floor+.bat    P145 2^87  2^44   137438953472  10e31830da8509c8000000000000000000000:10e31830da8509cffffffffffffffffffffff
p145_111_SE_pivot198.0_raw_floor+.bat    P145 2^87  2^44   137438953472  106938f03f859bc8000000000000000000000:106938f03f859bcffffffffffffffffffffff
p145_112_SE_pivot198.0_raw_ceil.bat      P145 2^141 2^71   18446744073709551616  1200000000000000000000000000000000000:13fffffffffffffffffffffffffffffffffff
p145_113_SE_pivot198.0_raw_ceil+f.bat    P145 2^89  2^45   274877906944  12412b5f9f475760000000000000000000000:12412b5f9f47577ffffffffffffffffffffff
